province_std_source,city_std_source,district_std_source,province_std_final,city_std_final,district_std_final,city_std_confidence,city_std_reason,record_count,example_job_id,example_detail_url
深圳,深圳,龙华区,广东,深圳,龙华区,high,exact-city-alias,11836,job_002679,https://jobs.51job.com/shenzhen-lhq/171348930.html?s=sou_sou_soulb&t=0_0&req=9d3ed804a95527883fea21b6bf1c41a8
广东,广州,天河区,广东,广州,天河区,high,exact-city-alias,11363,job_001376,https://jobs.51job.com/guangzhou-thq/169235910.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
江苏,苏州,,江苏,苏州,,high,exact-city-alias,11360,job_004249,https://jobs.51job.com/suzhou/171065378.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
湖北,武汉,,湖北,武汉,,high,exact-city-alias,10765,job_007137,https://jobs.51job.com/wuhan/171582847.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
上海,上海,松江区,上海,上海,松江区,high,exact-city-alias,10592,job_000306,https://jobs.51job.com/shanghai-sjq/171479107.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
深圳,深圳,,广东,深圳,,high,exact-city-alias,10333,job_002682,https://jobs.51job.com/shenzhen/168094523.html?s=sou_sou_soulb&t=0_0&req=9d3ed804a95527883fea21b6bf1c41a8
北京,北京,,北京,北京,,high,exact-city-alias,9308,job_000005,https://jobs.51job.com/beijing/171118438.html?s=sou_sou_soulb&t=0_0&req=0949676080f5f0934c4c3b057039b46f
广东,广州,番禺区,广东,广州,番禺区,high,exact-city-alias,9268,job_001377,https://jobs.51job.com/guangzhou-pyq/171661048.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
江苏,苏州,吴中区,江苏,苏州,吴中区,high,exact-city-alias,8711,job_004248,https://jobs.51job.com/suzhou-wzq/171536155.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
上海,上海,嘉定区,上海,上海,嘉定区,high,exact-city-alias,8576,job_000309,https://jobs.51job.com/shanghai-jdq/170154649.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
广东,广州,白云区,广东,广州,白云区,high,exact-city-alias,8525,job_001403,https://jobs.51job.com/guangzhou-byq/171603668.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
深圳,深圳,光明区,广东,深圳,光明区,high,exact-city-alias,8356,job_002696,https://jobs.51job.com/shenzhen-gmq/171592759.html?s=sou_sou_soulb&t=0_0&req=9ffc03cb77a9f53b0fdfdffac16a377b
深圳,深圳,福田区,广东,深圳,福田区,high,exact-city-alias,8267,job_001636,https://jobs.51job.com/shenzhen-ftq/143025609.html?s=sou_sou_soulb&t=0_0&req=7e76aef4c0466391b0dbbf36e9e5d273
四川,成都,,四川,成都,,high,exact-city-alias,8058,job_006180,https://jobs.51job.com/chengdu/140419407.html?s=sou_sou_soulb&t=0_0&req=60a5c2805641692fcae5e74872595e55
上海,上海,徐汇区,上海,上海,徐汇区,high,exact-city-alias,7922,job_000307,https://jobs.51job.com/shanghai-xhq/171227060.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
广东,佛山,南海区,广东,佛山,南海区,high,exact-city-alias,7053,job_001718,https://jobs.51job.com/foshan-nhq/165926983.html?s=sou_sou_soulb&t=0_1&req=7ef536706379e0e0a1524eb549ebd443
广东,佛山,顺德区,广东,佛山,顺德区,high,exact-city-alias,6942,job_002297,https://jobs.51job.com/foshan-sdq/162358796.html?s=sou_sou_soulb&t=0_0&req=752db80933022e02425d90c0b399643e
浙江,杭州,,浙江,杭州,,high,exact-city-alias,6717,job_005692,https://jobs.51job.com/hangzhou/171603380.html?s=sou_sou_soulb&t=0_0&req=98c2aeb809c0a47b2625fffa4727b318
江苏,无锡,新吴区,江苏,无锡,新吴区,high,exact-city-alias,6668,job_004859,https://jobs.51job.com/wuxi-xwq/165921541.html?s=sou_sou_soulb&t=0_1&req=fda7f5b279b8b40b7a72c04e005c2485
重庆,重庆,两江新区,重庆,重庆,两江新区,high,exact-city-alias,6467,job_000048,https://jobs.51job.com/chongqing-ljxq/167805793.html?s=sou_sou_soulb&t=0_1&req=0949676080f5f0934c4c3b057039b46f
广东,东莞,,广东,东莞,,high,exact-city-alias,6431,job_001834,https://jobs.51job.com/dongguan/167748509.html?s=sou_sou_soulb&t=0_0&req=a946f27531e9f76a9efe47305dbb80d3
江苏,苏州,相城区,江苏,苏州,相城区,high,exact-city-alias,6387,job_004252,https://jobs.51job.com/suzhou-xcq/171668678.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
浙江,宁波,鄞州区,浙江,宁波,鄞州区,high,exact-city-alias,6150,job_005701,https://jobs.51job.com/ningbo-yzq/171139034.html?s=sou_sou_soulb&t=0_0&req=98c2aeb809c0a47b2625fffa4727b318
江苏,苏州,吴江区,江苏,苏州,吴江区,high,exact-city-alias,6071,job_004264,https://jobs.51job.com/suzhou-wjq/156938709.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
湖北,武汉,洪山区,湖北,武汉,洪山区,high,exact-city-alias,6023,job_007142,https://jobs.51job.com/wuhan-hsq/170761395.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
江苏,苏州,常熟市,江苏,苏州,常熟市,high,exact-city-alias,5980,job_004251,https://jobs.51job.com/changshu/171673895.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
江苏,常州,武进区,江苏,常州,武进区,high,exact-city-alias,5934,job_005353,https://jobs.51job.com/changzhou-wjq/171650544.html?s=sou_sou_soulb&t=0_0&req=f999bd2c01d2d4b09044548d102a0be5
重庆,重庆,,重庆,重庆,,high,exact-city-alias,5934,job_000041,https://jobs.51job.com/chongqing/171518242.html?s=sou_sou_soulb&t=0_1&req=0949676080f5f0934c4c3b057039b46f
上海,上海,静安区,上海,上海,静安区,high,exact-city-alias,5803,job_000349,https://jobs.51job.com/shanghai-jaq/170574396.html?s=sou_sou_soulb&t=0_0&req=552f5b54867fdd5feca23845888fa8ef
上海,上海,青浦区,上海,上海,青浦区,high,exact-city-alias,5741,job_000318,https://jobs.51job.com/shanghai-qpq/171568660.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
上海,上海,奉贤区,上海,上海,奉贤区,high,exact-city-alias,5599,job_000303,https://jobs.51job.com/shanghai-fxq/169363666.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
江苏,苏州,高新区,江苏,苏州,高新区,high,exact-city-alias,5548,job_004290,https://jobs.51job.com/suzhou-gxq/169883482.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
广东,广州,花都区,广东,广州,花都区,high,exact-city-alias,5480,job_001463,https://jobs.51job.com/guangzhou-hdq/165846872.html?s=sou_sou_soulb&t=0_0&req=341b162349d0d240859de4254b4639b5
湖北,武汉,江夏区,湖北,武汉,江夏区,high,exact-city-alias,5403,job_007134,https://jobs.51job.com/wuhan-jxq/171535169.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
江苏,南京,,江苏,南京,,high,exact-city-alias,5363,job_003984,https://jobs.51job.com/nanjing/171639589.html?s=sou_sou_soulb&t=0_0&req=4fb0fb84a4942b0c853a8ea19c919720
北京,北京,朝阳区,北京,北京,朝阳区,high,exact-city-alias,5270,job_000014,https://jobs.51job.com/beijing-cyq/171407650.html?s=sou_sou_soulb&t=0_0&req=0949676080f5f0934c4c3b057039b46f
江苏,南京,江宁区,江苏,南京,江宁区,high,exact-city-alias,5104,job_003986,https://jobs.51job.com/nanjing-jnq/169856256.html?s=sou_sou_soulb&t=0_0&req=4fb0fb84a4942b0c853a8ea19c919720
浙江,宁波,,浙江,宁波,,high,exact-city-alias,5040,job_005655,https://jobs.51job.com/ningbo/152108562.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
广东,广州,越秀区,广东,广州,越秀区,high,exact-city-alias,5009,job_001390,https://jobs.51job.com/guangzhou-yxq/137325695.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
广东,广州,海珠区,广东,广州,海珠区,high,exact-city-alias,4928,job_001408,https://jobs.51job.com/guangzhou-hzq/171537920.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
上海,上海,长宁区,上海,上海,长宁区,high,exact-city-alias,4793,job_000330,https://jobs.51job.com/shanghai-cnq/171204934.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
四川,成都,武侯区,四川,成都,武侯区,high,exact-city-alias,4686,job_006155,https://jobs.51job.com/chengdu-whq/171660694.html?s=sou_sou_soulb&t=0_0&req=60a5c2805641692fcae5e74872595e55
安徽,合肥,,安徽,合肥,,high,exact-city-alias,4658,job_006773,https://jobs.51job.com/hefei/148018034.html?s=sou_sou_soulb&t=0_0&req=438aa1e02e3d1521ebaf4547b54fb9ec
上海,上海,黄浦区,上海,上海,黄浦区,high,exact-city-alias,4630,job_000288,https://jobs.51job.com/shanghai-hpq/169515169.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
湖北,武汉,东湖新技术产业开发区,湖北,武汉,东湖新技术产业开发区,high,exact-city-alias,4597,job_007140,https://jobs.51job.com/wuhan-dhxjs/171147380.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
广东,广州,增城区,广东,广州,增城区,high,exact-city-alias,4496,job_001434,https://jobs.51job.com/guangzhou-zcq/170709743.html?s=sou_sou_soulb&t=0_0&req=341b162349d0d240859de4254b4639b5
江苏,无锡,,江苏,无锡,,high,exact-city-alias,4401,job_004225,https://jobs.51job.com/wuxi/168829894.html?s=sou_sou_soulb&t=0_1&req=68eebb0435d3cb18941174f13c0d3b17
江苏,常州,新北区,江苏,常州,新北区,high,exact-city-alias,4397,job_004215,https://jobs.51job.com/changzhou-xbq/168557530.html?s=sou_sou_soulb&t=0_1&req=68eebb0435d3cb18941174f13c0d3b17
陕西,西安,,陕西,西安,,high,exact-city-alias,4388,job_007770,https://jobs.51job.com/xian/153465471.html?s=sou_sou_soulb&t=0_0&req=d39bf751ee95785621b4bcbdd616430c
广东,惠州,惠城区,广东,惠州,惠城区,high,exact-city-alias,4321,job_002422,https://jobs.51job.com/huizhou-hcq/171353885.html?s=sou_sou_soulb&t=0_0&req=7f7f56957e7f3bd345909221e2d7796e
上海,上海,宝山区,上海,上海,宝山区,high,exact-city-alias,4256,job_000308,https://jobs.51job.com/shanghai-bsq/170778803.html?s=sou_sou_soulb&t=0_0&req=4b45ca6e49337e3e3c9ab0646b199fe8
深圳,深圳,坪山区,广东,深圳,坪山区,high,exact-city-alias,4247,job_002718,https://jobs.51job.com/shenzhen-psq/171234833.html?s=sou_sou_soulb&t=0_0&req=9ffc03cb77a9f53b0fdfdffac16a377b
江苏,南通,,江苏,南通,,high,exact-city-alias,4135,job_005521,https://jobs.51job.com/nantong/170857970.html?s=sou_sou_soulb&t=0_0&req=44f20d73565cf144da99db82a572c244
湖北,武汉,武昌区,湖北,武汉,武昌区,high,exact-city-alias,4132,job_007130,https://jobs.51job.com/wuhan-wcq/171669560.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
浙江,宁波,慈溪市,浙江,宁波,慈溪市,high,exact-city-alias,4033,job_005632,https://jobs.51job.com/ningbo-cxs/169072040.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
广东,广州,南沙区,广东,广州,南沙区,high,exact-city-alias,3935,job_001381,https://jobs.51job.com/guangzhou-nsq/171291217.html?s=sou_sou_soulb&t=0_0&req=50cd477752152299424fa76c834b3a61
江苏,常州,,江苏,常州,,high,exact-city-alias,3733,job_005362,https://jobs.51job.com/changzhou/171586784.html?s=sou_sou_soulb&t=0_0&req=f999bd2c01d2d4b09044548d102a0be5
湖南,长沙,,湖南,长沙,,high,exact-city-alias,3703,job_007632,https://jobs.51job.com/changsha/170814796.html?s=sou_sou_soulb&t=0_0&req=d1d0d05b398a90240b491b32f9ee423c
上海,上海,普陀区,上海,上海,普陀区,high,exact-city-alias,3667,job_000363,https://jobs.51job.com/shanghai-ptq/166252246.html?s=sou_sou_soulb&t=0_0&req=552f5b54867fdd5feca23845888fa8ef
深圳,深圳,罗湖区,广东,深圳,罗湖区,high,exact-city-alias,3647,job_002686,https://jobs.51job.com/shenzhen-luohuqu/171668029.html?s=sou_sou_soulb&t=0_0&req=9d3ed804a95527883fea21b6bf1c41a8
上海,上海,金山区,上海,上海,金山区,high,exact-city-alias,3590,job_000470,https://jobs.51job.com/shanghai-jsq/149655966.html?s=sou_sou_soulb&t=0_0&req=e8c6bbc6a317ca80fcfa43fb74f99a93
浙江,杭州,萧山区,浙江,杭州,萧山区,high,exact-city-alias,3536,job_005629,https://jobs.51job.com/hangzhou-xsq/167624544.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
北京,北京,海淀区,北京,北京,海淀区,high,exact-city-alias,3465,job_000009,https://jobs.51job.com/beijing-hdq/171553974.html?s=sou_sou_soulb&t=0_0&req=0949676080f5f0934c4c3b057039b46f
江苏,苏州,太仓市,江苏,苏州,太仓市,high,exact-city-alias,3434,job_004074,https://jobs.51job.com/taicang/157130169.html?s=sou_sou_soulb&t=0_1&req=f9128122f8f1ede83c3cb816e1eaa61b
广东,佛山,,广东,佛山,,high,exact-city-alias,3359,job_002308,https://jobs.51job.com/foshan/171615256.html?s=sou_sou_soulb&t=0_0&req=752db80933022e02425d90c0b399643e
云南,昆明,,云南,昆明,,high,exact-city-alias,3281,job_008111,https://jobs.51job.com/kunming/162450616.html?s=sou_sou_soulb&t=0_0&req=285fe2946d59c8345e3737661d2dc296
湖北,武汉,蔡甸区,湖北,武汉,蔡甸区,high,exact-city-alias,3277,job_007132,https://jobs.51job.com/wuhan-cdq/171627098.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
广东,惠州,,广东,惠州,,high,exact-city-alias,3266,job_002425,https://jobs.51job.com/huizhou/169424892.html?s=sou_sou_soulb&t=0_0&req=7f7f56957e7f3bd345909221e2d7796e
广东,东莞,松山湖区,广东,东莞,松山湖区,high,exact-city-alias,3199,job_001820,https://jobs.51job.com/dongguan-sshq/163409447.html?s=sou_sou_soulb&t=0_0&req=a946f27531e9f76a9efe47305dbb80d3
河南,郑州,,河南,郑州,,high,exact-city-alias,3184,job_007022,https://jobs.51job.com/zhengzhou/171208156.html?s=sou_sou_soulb&t=0_0&req=8468dee840d7c61d0a3dfc1ebcbed152
四川,成都,高新区,四川,成都,高新区,high,exact-city-alias,3171,job_006153,https://jobs.51job.com/chengdu-gxq/131093044.html?s=sou_sou_soulb&t=0_0&req=60a5c2805641692fcae5e74872595e55
江苏,无锡,锡山区,江苏,无锡,锡山区,high,exact-city-alias,3114,job_005129,https://jobs.51job.com/wuxi-xsq/171533155.html?s=sou_sou_soulb&t=0_0&req=93b42b82ee51aae4afe7314ad6a9250f
浙江,杭州,滨江区,浙江,杭州,滨江区,high,exact-city-alias,3036,job_005668,https://jobs.51job.com/hangzhou-bjq/171430945.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
上海,上海,杨浦区,上海,上海,杨浦区,high,exact-city-alias,3024,job_000354,https://jobs.51job.com/shanghai-ypq/171144199.html?s=sou_sou_soulb&t=0_0&req=552f5b54867fdd5feca23845888fa8ef
广东,东莞,长安镇,广东,东莞,长安镇,high,exact-city-alias,2994,job_001822,https://jobs.51job.com/dongguan-caz/171286219.html?s=sou_sou_soulb&t=0_0&req=a946f27531e9f76a9efe47305dbb80d3
浙江,杭州,上城区,浙江,杭州,上城区,high,exact-city-alias,2975,job_005637,https://jobs.51job.com/hangzhou-scq/171657940.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
浙江,嘉兴,,浙江,嘉兴,,high,exact-city-alias,2971,job_005653,https://jobs.51job.com/jiaxing/161490939.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
江苏,南通,崇川区,江苏,南通,崇川区,high,exact-city-alias,2958,job_005524,https://jobs.51job.com/nantong-ccq/171509692.html?s=sou_sou_soulb&t=0_0&req=44f20d73565cf144da99db82a572c244
上海,上海,虹口区,上海,上海,虹口区,high,exact-city-alias,2919,job_000746,https://jobs.51job.com/shanghai-hkq/168821744.html?s=sou_sou_soulb&t=0_0&req=58d905f4a87230c9b90b14810d29e7d3
广东,珠海,香洲区,广东,珠海,香洲区,high,exact-city-alias,2875,job_002162,https://jobs.51job.com/zhuhai-xzq/170373418.html?s=sou_sou_soulb&t=0_0&req=e14bca5788d386adc849ac26f4622448
广东,中山,,广东,中山,,high,exact-city-alias,2871,job_002532,https://jobs.51job.com/zhongshan/157698132.html?s=sou_sou_soulb&t=0_0&req=cb1882c9e5163bb25021626e8d90b59f
浙江,宁波,北仑区,浙江,宁波,北仑区,high,exact-city-alias,2830,job_005661,https://jobs.51job.com/ningbo-blq/170337583.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
湖北,武汉,东西湖区,湖北,武汉,东西湖区,high,exact-city-alias,2815,job_007167,https://jobs.51job.com/wuhan-dxhq/171410408.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
浙江,宁波,余姚市,浙江,宁波,余姚市,high,exact-city-alias,2774,job_005643,https://jobs.51job.com/ningbo-yys/171648679.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
广东,东莞,塘厦镇,广东,东莞,塘厦镇,high,exact-city-alias,2766,job_001611,https://jobs.51job.com/dongguan-txz/166689017.html?s=sou_sou_soulb&t=0_1&req=0c7e5ccca491d82539d6ec90a1a098c2
广东,惠州,仲恺区,广东,惠州,仲恺区,high,exact-city-alias,2762,job_002420,https://jobs.51job.com/huizhou-zkq/171592193.html?s=sou_sou_soulb&t=0_0&req=7f7f56957e7f3bd345909221e2d7796e
浙江,杭州,钱塘区,浙江,杭州,钱塘区,high,exact-city-alias,2748,job_005658,https://jobs.51job.com/hangzhou-qtq/165900475.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
湖北,武汉,武汉经济开发区,湖北,武汉,武汉经济开发区,high,exact-city-alias,2734,job_007136,https://jobs.51job.com/wuhan-whjj/171584430.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
江苏,苏州,张家港市,江苏,苏州,张家港市,high,exact-city-alias,2729,job_004370,https://jobs.51job.com/zhangjiagang/171602813.html?s=sou_sou_soulb&t=0_0&req=2f78c8bcc5b26a8487b3bf20b01c20c1
浙江,杭州,拱墅区,浙江,杭州,拱墅区,high,exact-city-alias,2685,job_005654,https://jobs.51job.com/hangzhou-gsq/169465767.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
浙江,杭州,西湖区,浙江,杭州,西湖区,high,exact-city-alias,2682,job_005633,https://jobs.51job.com/hangzhou-xhq/170855932.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
湖北,武汉,江汉区,湖北,武汉,江汉区,high,exact-city-alias,2641,job_007298,https://jobs.51job.com/wuhan-jhq/170724163.html?s=sou_sou_soulb&t=0_0&req=afa61febfb2b28b452c26227c40a9247
安徽,合肥,蜀山区,安徽,合肥,蜀山区,high,exact-city-alias,2636,job_006774,https://jobs.51job.com/hefei-ssq/170629482.html?s=sou_sou_soulb&t=0_0&req=438aa1e02e3d1521ebaf4547b54fb9ec
浙江,嘉兴,南湖区,浙江,嘉兴,南湖区,high,exact-city-alias,2608,job_005630,https://jobs.51job.com/jiaxing-nhq/168183618.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
湖南,长沙,岳麓区,湖南,长沙,岳麓区,high,exact-city-alias,2564,job_007628,https://jobs.51job.com/changsha-ylq/171344157.html?s=sou_sou_soulb&t=0_0&req=d1d0d05b398a90240b491b32f9ee423c
天津,天津,,天津,天津,,high,exact-city-alias,2559,job_003785,https://jobs.51job.com/tianjin/171134303.html?s=sou_sou_soulb&t=0_0&req=335e47a8f46b2a46eef4b92d9eed9eaa
山东,济南,,山东,济南,,high,exact-city-alias,2525,job_006554,https://jobs.51job.com/jinan/171418940.html?s=sou_sou_soulb&t=0_0&req=49fa21f4a13df9e7f28418008970f854
浙江,宁波,海曙区,浙江,宁波,海曙区,high,exact-city-alias,2510,job_005656,https://jobs.51job.com/ningbo-hsq/171346646.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
浙江,杭州,余杭区,浙江,杭州,余杭区,high,exact-city-alias,2470,job_005639,https://jobs.51job.com/hangzhou-yhq/171643768.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
江苏,无锡,江阴市,江苏,无锡,江阴市,high,exact-city-alias,2468,job_005130,https://jobs.51job.com/wuxi-jys/170590770.html?s=sou_sou_soulb&t=0_0&req=93b42b82ee51aae4afe7314ad6a9250f
云南,昆明,官渡区,云南,昆明,官渡区,high,exact-city-alias,2461,job_008103,https://jobs.51job.com/kunming-gdq/170812953.html?s=sou_sou_soulb&t=0_0&req=285fe2946d59c8345e3737661d2dc296
江苏,无锡,滨湖区,江苏,无锡,滨湖区,high,exact-city-alias,2460,job_005136,https://jobs.51job.com/wuxi-bhq/171449742.html?s=sou_sou_soulb&t=0_0&req=93b42b82ee51aae4afe7314ad6a9250f
江苏,苏州,虎丘区,江苏,苏州,虎丘区,high,exact-city-alias,2442,job_004258,https://jobs.51job.com/suzhou-hq/171642493.html?s=sou_sou_soulb&t=0_0&req=93163cfb21d4670dedb149fcd2766d24
广东,广州,荔湾区,广东,广州,荔湾区,high,exact-city-alias,2435,job_001426,https://jobs.51job.com/guangzhou-lwq/170937355.html?s=sou_sou_soulb&t=0_0&req=341b162349d0d240859de4254b4639b5
广东,佛山,禅城区,广东,佛山,禅城区,high,exact-city-alias,2431,job_002309,https://jobs.51job.com/foshan-ccq/170439001.html?s=sou_sou_soulb&t=0_0&req=752db80933022e02425d90c0b399643e
江苏,无锡,惠山区,江苏,无锡,惠山区,high,exact-city-alias,2425,job_005127,https://jobs.51job.com/wuxi-hsq/171566221.html?s=sou_sou_soulb&t=0_0&req=93b42b82ee51aae4afe7314ad6a9250f
江西,南昌,,江西,南昌,,high,exact-city-alias,2408,job_006660,https://jobs.51job.com/nanchang/171020209.html?s=sou_sou_soulb&t=0_0&req=c3f9bf16c92fd67fff6ba2a1ab89af25
安徽,芜湖,鸠江区,安徽,芜湖,鸠江区,high,exact-city-alias,2393,job_006772,https://jobs.51job.com/wuhu-jjq/171354962.html?s=sou_sou_soulb&t=0_0&req=438aa1e02e3d1521ebaf4547b54fb9ec
四川,成都,龙泉驿区,四川,成都,龙泉驿区,high,exact-city-alias,2364,job_006191,https://jobs.51job.com/chengdu-lqyq/169206782.html?s=sou_sou_soulb&t=0_0&req=60a5c2805641692fcae5e74872595e55
湖北,武汉,汉阳区,湖北,武汉,汉阳区,high,exact-city-alias,2355,job_007240,https://jobs.51job.com/wuhan-hyq/168049021.html?s=sou_sou_soulb&t=0_0&req=ffc2089614a94d0fc7973fb83fc51b7e
陕西,西安,雁塔区,陕西,西安,雁塔区,high,exact-city-alias,2299,job_007764,https://jobs.51job.com/xian-ytq/171638474.html?s=sou_sou_soulb&t=0_0&req=d39bf751ee95785621b4bcbdd616430c
四川,成都,双流区,四川,成都,双流区,high,exact-city-alias,2295,job_006176,https://jobs.51job.com/chengdu-slq/165857110.html?s=sou_sou_soulb&t=0_0&req=60a5c2805641692fcae5e74872595e55
湖北,武汉,江岸区,湖北,武汉,江岸区,high,exact-city-alias,2283,job_007165,https://jobs.51job.com/wuhan-jaq/171457533.html?s=sou_sou_soulb&t=0_0&req=6b0892166965cee51d9887a5cdd87b5a
广东,惠州,惠阳区,广东,惠州,惠阳区,high,exact-city-alias,2266,job_002423,https://jobs.51job.com/huizhou-hyq/170197309.html?s=sou_sou_soulb&t=0_0&req=7f7f56957e7f3bd345909221e2d7796e
浙江,宁波,江北区,浙江,宁波,江北区,high,exact-city-alias,2230,job_005666,https://jobs.51job.com/ningbo-jbq/162237897.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
辽宁,沈阳,,辽宁,沈阳,,high,exact-city-alias,2230,job_007945,https://jobs.51job.com/shenyang/171452064.html?s=sou_sou_soulb&t=0_0&req=e1b1b71554bb5199b3e777db2b72821f
云南,昆明,五华区,云南,昆明,五华区,high,exact-city-alias,2148,job_008089,https://jobs.51job.com/kunming-whq/171634822.html?s=sou_sou_soulb&t=0_0&req=285fe2946d59c8345e3737661d2dc296
广西,南宁,,广西,南宁,,high,exact-city-alias,2127,job_006714,https://jobs.51job.com/nanning/158665480.html?s=sou_sou_soulb&t=0_0&req=bc8e1b2747700688a25d4e87885bfb36
