province_std_source,city_std_source,district_std_source,province_std_final,city_std_final,district_std_final,city_std_confidence,city_std_reason,record_count,example_job_id,example_detail_url
辽宁,辽宁省,,辽宁,,,low,province-only-city-source,28,job_007940,https://jobs.51job.com/liaoningsheng/138790660.html?s=sou_sou_soulb&t=0_0&req=e1b1b71554bb5199b3e777db2b72821f
江西,江西省,,江西,,,low,province-only-city-source,26,job_006655,https://jobs.51job.com/jiangxisheng/138790659.html?s=sou_sou_soulb&t=0_0&req=c3f9bf16c92fd67fff6ba2a1ab89af25
,宁夏,,,宁夏,,low,fallback-city-source,24,job_188052,https://jobs.51job.com/all/168259492.html?s=sou_sou_soulb&t=0_0&req=41e8fdba127f6bb1cdf0f1f015a798d4
山东,山东省,,山东,,,low,province-only-city-source,24,job_006551,https://jobs.51job.com/shandongsheng/138790667.html?s=sou_sou_soulb&t=0_0&req=49fa21f4a13df9e7f28418008970f854
宁夏,宁夏,,宁夏,宁夏,,low,fallback-city-source,22,job_008175,https://jobs.51job.com/ningxia/138790662.html?s=sou_sou_soulb&t=0_0&req=692c2530c6a097f49715d20865c10377
广东,广东省,,广东,,,low,province-only-city-source,22,job_061853,https://jobs.51job.com/guangdongsheng/146290711.html?s=sou_sou_soulb&t=0_0&req=38c53ed52d7e0910168ca8b1fcd0bac9
,青海省,,青海,,,low,province-only-city-source,20,job_023883,https://jobs.51job.com/all/166085066.html?s=sou_sou_soulb&t=0_0&req=8018d21180524c087c634063e40992d8
山西,山西省,,山西,,,low,province-only-city-source,19,job_007919,https://jobs.51job.com/shanxisheng/138790668.html?s=sou_sou_soulb&t=0_0&req=9261977793182cff61e4e464f603f9a9
新疆,新疆,,新疆,新疆,,low,fallback-city-source,19,job_008178,https://jobs.51job.com/xinjiang/138790676.html?s=sou_sou_soulb&t=0_0&req=c9f55dde2be2b5e15199f501c8cbcb6c
浙江,浙江省,,浙江,,,low,province-only-city-source,18,job_005628,https://jobs.51job.com/zhejiangsheng/138790680.html?s=sou_sou_soulb&t=0_0&req=0bcd7ecbb8c10cd966c70e7739685bd9
青海,青海省,,青海,,,low,province-only-city-source,18,job_008183,https://jobs.51job.com/qinghaisheng/138790664.html?s=sou_sou_soulb&t=0_0&req=4c01ac5b12da68eb0ddbb544cd2a44f0
黑龙江,黑龙江省,,黑龙江,,,low,province-only-city-source,18,job_007930,https://jobs.51job.com/heilongjiangsheng/138790652.html?s=sou_sou_soulb&t=0_0&req=4f6c5cd0449bdc71eacb934c0f062029
吉林,吉林省,,吉林,,,low,province-only-city-source,17,job_008072,https://jobs.51job.com/jilinsheng/138790654.html?s=sou_sou_soulb&t=0_0&req=ca1041eb7ef2ad28ee6103576430ac36
江苏,江苏省,,江苏,,,low,province-only-city-source,16,job_037318,https://jobs.51job.com/jiangsusheng/147591585.html?s=sou_sou_soulb&t=0_0&req=6e1908e39fc8ac232b8d566bfe76f025
贵州,贵州省,,贵州,,,low,province-only-city-source,16,job_008151,https://jobs.51job.com/guizhousheng/138790643.html?s=sou_sou_soulb&t=0_0&req=8fc364855997af9dfb24f4823506e3a2
内蒙古,内蒙古,,内蒙古,内蒙古,,low,fallback-city-source,8,job_008170,https://jobs.51job.com/neimenggu/138790661.html?s=sou_sou_soulb&t=0_0&req=2df14fc16087e045386648d8604792f2
新疆,可克达拉,,新疆,可克达拉,,low,fallback-city-source,7,job_073641,https://jobs.51job.com/kekedala/170492903.html?s=sou_sou_soulb&t=0_0&req=d7d415f6fcf2124e17b8f9419ef417c8
青海,海南州,共和县,青海,海南州,共和县,low,fallback-city-source,6,job_217695,https://jobs.51job.com/hainanzhou-ghx/167961001.html?s=sou_sou_soulb&t=0_0&req=ea3ffe9c41bc1904001679528b603e3a
新疆,胡杨河,,新疆,胡杨河,,low,fallback-city-source,5,job_188062,https://jobs.51job.com/huyanghe/161840038.html?s=sou_sou_soulb&t=0_0&req=66a23b933b58308a382614194cec06f4
,西藏,,,西藏,,low,fallback-city-source,5,job_054444,https://jobs.51job.com/all/162967335.html?s=sou_sou_soulb&t=0_0&req=19c3176420827dca38842e46b11bad29
新疆,新星,,新疆,新星,,low,fallback-city-source,4,job_104688,https://jobs.51job.com/xinxing/171084214.html?s=sou_sou_soulb&t=0_0&req=65576005f327fc5e406237e9f0485058
西藏,西藏,,西藏,西藏,,low,fallback-city-source,4,job_008177,https://jobs.51job.com/xizang/138790675.html?s=sou_sou_soulb&t=0_0&req=22f03fc22e8eef1a2c89307f1f5e1007
,国外,,,国外,,low,fallback-city-source,3,job_370270,https://jobs.51job.com/overseas/167927145.html?s=sou_sou_soulb&t=0_1&req=98ce248a3e1ee16ecdf9486e005de59d
青海,海南州,,青海,海南州,,low,fallback-city-source,2,job_406454,https://jobs.51job.com/hainanzhou/170430397.html?s=sou_sou_soulb&t=0_0&req=b4daffd654617399e8a39cabe00f7640
新疆,双河,,新疆,双河,,low,fallback-city-source,1,job_054521,https://jobs.51job.com/shuanghe/171158671.html?s=sou_sou_soulb&t=0_0&req=3029db153a81a3d4d2a439e13e3995fe
